"Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Pick","BMI"
"DT",75,321,4.93,18,NA,44,7.9,4.78,72,40.1178666666667
"WR",71,185,4.34,11,NA,25,6.81,4.15,140,25.7994445546519
"OT",77,309,5.3,16,28,47,7.65,4.84,135,36.6380502614269
"DE",76,263,4.79,13.5,25,39,7.52,4.47,57,32.0098684210526
"ILB",74,244,4.72,13,27,32,6.93,4.24,35,31.3243243243243
"WR",72,184,4.4,NA,29,NA,NA,NA,175,24.9521604938272
"OG",75,305,5.33,15.5,26,44,NA,4.52,51,38.1182222222222
"OLB",74,236,4.56,NA,30,28,NA,NA,76,30.2972972972973
"CB",73,208,4.47,12.5,30,24,NA,NA,96,27.4392944267217
"OT",80,332,5.45,17,25,52,8.18,5.06,54,36.468125
"C",76,301,5.14,15,23,48,7.69,4.79,106,36.6348684210526
"C",76,311,5.17,NA,NA,NA,NA,NA,21,37.8519736842105
"WR",72,198,4.43,NA,NA,NA,NA,NA,19,26.8506944444444
"DT",75,298,4.82,16.5,19,44,7.52,4.55,67,37.2433777777778
"OLB",71,229,4.65,NA,19,37,6.98,4.2,104,31.9355286649474
"DT",74,306,5,13,NA,NA,NA,NA,62,39.2837837837838
"CB",73,198,4.43,10,37,24,6.6,3.98,59,26.1200975792832
"WR",73,210,4.51,9.5,NA,20,NA,NA,50,27.7031337962094
"OLB",75,240,4.58,10.5,26,26,6.9,4.18,26,29.9946666666667
"ILB",74,249,4.58,NA,26,40,NA,NA,38,31.9662162162162
"DE",76,249,4.64,8,27,23,7.52,4.38,11,30.3059210526316
"FS",72,198,4.53,8,35,28,6.8,4.16,48,26.8506944444444
"RB",70,198,4.5,NA,NA,NA,NA,NA,53,28.4069387755102
"QB",75,225,4.61,13,NA,35,7.34,4.49,101,28.12
"OLB",74,243,4.76,NA,22,35,NA,NA,97,31.1959459459459
"ILB",73,244,4.7,10.5,22,28,7,4.39,146,32.1884030775005
"WR",72,189,4.37,9,NA,34,6.96,4.1,141,25.6302083333333
"ILB",74,231,4.49,12,30,24,7.24,4.35,130,29.6554054054054
"OT",77,304,4.99,18,18,42,8.01,4.82,162,36.0452015516951
"CB",71,184,4.53,NA,NA,NA,NA,NA,227,25.6599880975997
"DT",73,310,4.93,14,13,44,8.01,4.74,81,40.8951022705949
"WR",76,218,4.43,14,40,31,7.04,4.33,243,26.5328947368421
"DT",76,305,5.07,15.5,24,47,NA,NA,56,37.1217105263158
"OT",77,309,5.18,17.5,26,37,7.86,4.78,8,36.6380502614269
"SS",72,221,4.49,9,33,24,6.81,4.26,55,29.9697145061728
"DE",77,272,4.76,15.5,27,42,7.4,4.47,117,32.2509698094114
"CB",69,192,4.56,6.5,32,29,7.01,4.28,119,28.3503465658475
"RB",71,217,4.5,10.5,24,32,6.84,4.27,12,30.2620511803214
"TE",75,244,4.61,13.5,25,32,6.99,4.36,248,30.4945777777778
"CB",69,187,4.47,6.5,31,18,NA,NA,94,27.6120562906952
"CB",68,182,4.41,8.5,30,26,7.15,4.2,216,27.6699826989619
"WR",74,203,4.32,NA,37,NA,NA,NA,124,26.0608108108108
"OT",79,306,4.82,11,24,37,7.06,4.34,228,34.468514661112
"TE",77,240,4.52,13,30,32,6.96,4.46,121,28.4567380671277
"WR",73,212,4.51,10,NA,NA,NA,NA,29,27.9669731656971
"FS",72,206,4.58,14.5,37,30,7.06,4.3,223,27.9355709876543
"RB",72,220,4.57,11,30,36,6.85,4.29,211,29.8341049382716
"OT",76,309,5.16,15.5,28,44,7.81,4.6,23,37.608552631579
"OG",77,306,5.23,21.5,26,57,7.59,4.7,132,36.2823410355878
"DE",75,263,4.63,6.5,18,NA,NA,NA,13,32.8691555555556
"CB",70,181,4.44,11.5,35,37,6.93,4.16,90,25.9679591836735
"QB",75,225,4.87,17,NA,45,7,4.48,201,28.12
"TE",77,251,4.89,19.5,NA,40,7.65,4.55,184,29.7610052285377
"RB",69,216,4.34,6,22,30,6.99,4.29,185,31.8941398865785
"TE",77,263,4.8,13,27,29,7.12,4.37,20,31.1838421318941
"ILB",73,239,4.6,12,29,27,NA,4.32,137,31.5288046537812
"TE",77,251,4.78,12.5,29,35,6.84,4.27,208,29.7610052285377
"CB",69,188,4.43,9.5,34,25,7.09,4.08,92,27.7597143457257
"DT",72,319,5.03,16,NA,40,8.16,4.75,207,43.2594521604938
"FS",71,204,4.5,8,27,28,7.39,4.43,112,28.4491172386431
"TE",76,264,4.88,13.5,25,28,7.5,4.62,64,32.1315789473684
"DT",73,337,5.12,14,16,44,7.9,4.69,9,44.4569337586789
"OT",80,309,5.32,24,30,53,7.87,4.88,156,33.94171875
"DT",74,303,5.08,20.5,32,NA,NA,NA,234,38.8986486486486
"RB",69,205,4.5,12,26,32,6.87,4.11,173,30.2699012812434
"OG",77,329,5.32,NA,NA,NA,NA,NA,163,39.0094451003542
"WR",75,209,4.46,8.5,NA,NA,6.72,4.19,36,26.1203555555556
"QB",74,227,4.93,13.5,NA,31,7.06,4.21,5,29.1418918918919
"SS",70,214,4.43,12.5,20,31,7.02,4.2,231,30.7024489795918
"RB",70,200,4.44,10,28,22,6.82,4.08,209,28.6938775510204
"DT",75,312,4.92,15.5,20,40,8.28,4.84,103,38.9930666666667
"DE",77,266,4.86,15.5,25,35,7.68,4.88,71,31.5395513577332
"C",73,304,5.19,15,16,47,7.46,4.4,226,40.1035841621317
"DE",74,266,4.53,11,21,27,7.46,4.43,125,34.1486486486486
"OLB",75,256,4.75,11.5,NA,28,7.37,4.4,45,31.9943111111111
"OG",77,316,5.26,12,NA,37,7.86,4.86,193,37.4680384550514
"CB",69,193,4.47,12,36,22,7.09,4.38,37,28.498004620878
"OT",76,332,5.28,NA,NA,NA,NA,NA,6,40.4078947368421
"CB",71,194,4.5,14.5,32,38,7.27,4.35,143,27.0545526681214
"OT",77,309,5.09,22,16,51,7.53,4.69,2,36.6380502614269
"CB",75,214,4.47,12,39,28,6.92,4.15,61,26.7452444444444
"QB",74,225,4.81,15.5,NA,40,7.06,4.47,1,28.8851351351351
"WR",69,189,4.45,16,36,37,7.03,4.28,233,27.9073724007561
"DE",76,251,4.63,15,27,34,7.31,4.58,199,30.5493421052632
"WR",72,183,4.52,NA,NA,NA,NA,NA,83,24.8165509259259
"FS",74,209,4.49,8.5,36,18,7.25,4.23,219,26.8310810810811
"DT",72,306,5.08,16,12,43,7.78,5.06,136,41.4965277777778
"OG",76,323,5.29,NA,29,NA,NA,NA,236,39.3125
"WR",68,195,4.3,5.5,NA,21,6.65,4.28,107,29.6464100346021
"CB",73,193,4.5,8,26,20,7.05,4.01,179,25.4604991555639
"OT",77,314,5.2,20.5,25,53,8.33,5.02,159,37.2308989711587
"WR",77,223,4.59,NA,NA,NA,NA,NA,87,26.4410524540395
"FS",73,198,4.48,9.5,33,22,7,4.2,187,26.1200975792832
"WR",73,184,4.31,4.5,42,18,6.62,4.11,253,24.2732219928692
"C",77,309,5.26,21.5,27,54,7.39,4.5,49,36.6380502614269
"OG",77,328,5.25,22,20,53,7.87,4.89,79,38.8908753584078
"OG",77,333,5.22,NA,10,NA,NA,NA,78,39.4837240681397
"SS",73,221,4.42,9,28,22,7.03,4.12,116,29.1542503283918
"DE",74,257,4.75,13,14,37,7.2,4.46,52,32.9932432432432
"DT",74,304,5.32,13,20,NA,NA,NA,210,39.027027027027
"WR",72,199,4.33,6,35,18,6.9,4.27,84,26.9863040123457
"CB",72,197,4.5,1,40,12,6.84,4.2,102,26.7150848765432
"CB",70,179,4.35,9.5,34,26,6.77,4.1,88,25.6810204081633
"RB",73,235,4.38,12.5,24,19,NA,NA,31,31.0011259148058
"QB",72,197,4.55,11,NA,30,7.06,4.42,44,26.7150848765432
"DE",74,261,4.78,13,NA,35,7.23,4.49,120,33.5067567567568
"WR",71,194,4.47,13,34,NA,NA,NA,82,27.0545526681214
"FB",73,239,4.79,NA,26,NA,NA,NA,221,31.5288046537812
"RB",69,223,4.51,12.5,24,31,NA,NA,212,32.9277462717916
"C",76,310,5.19,15.5,19,48,7.56,4.51,28,37.7302631578947
"CB",71,198,4.52,11.5,32,25,7,4.44,200,27.6123784963301
"DE",75,275,4.94,14.5,30,40,7.4,4.58,182,34.3688888888889
"FS",72,207,4.5,NA,33,NA,NA,NA,37,28.0711805555556
"DE",74,295,4.87,10.5,28,31,7.15,4.43,10,37.8716216216216
"ILB",72,235,4.71,11,23,37,7.04,4.29,63,31.8682484567901
"CB",69,197,4.6,NA,NA,35,NA,NA,50,29.0886368409998
"OG",76,305,5.07,NA,NA,NA,NA,NA,68,37.1217105263158
"SS",72,212,4.62,8.5,35,29,7,4.17,160,28.7492283950617
"DT",73,293,4.75,13,15,30,7.33,4.43,120,38.6524676299493
"OG",76,310,5.28,NA,22,NA,NA,NA,45,37.7302631578947
"WR",73,219,4.57,9,29,29,NA,NA,39,28.8904109589041
"FS",72,211,4.4,3,30,17,6.8,4.23,5,28.6136188271605
"RB",70,199,4.34,13.5,31,34,6.75,4.17,30,28.5504081632653
"OLB",72,242,4.7,16.5,23,32,6.91,4.59,91,32.8175154320988
"QB",76,236,4.79,NA,NA,NA,NA,NA,1,28.7236842105263
"WR",74,207,4.66,13,40,32,7.1,4.57,191,26.5743243243243
"QB",75,229,4.93,14.5,29,41,7.07,4.43,209,28.6199111111111
"OT",77,303,5.21,14.5,28,NA,NA,NA,64,35.9266318097487
"WR",70,186,4.56,12.5,36,42,6.98,4.18,195,26.685306122449
"WR",74,225,4.52,NA,NA,NA,NA,NA,24,28.8851351351351
"OT",77,314,5.2,18.5,23,49,7.7,4.75,23,37.2308989711587
"FS",73,209,4.51,NA,33,NA,NA,NA,71,27.5712141114656
"ILB",73,245,4.61,NA,14,NA,NA,NA,79,32.3203227622443
"CB",72,191,4.43,6.5,32,26,7.08,4.23,164,25.9014274691358
"TE",76,268,4.97,17,NA,38,NA,NA,182,32.6184210526316
"OT",78,323,5.46,22.5,27,55,7.96,4.86,216,37.3223208415516
"OT",78,314,4.75,14,15,46,7.58,4.69,106,36.2823800131492
"QB",76,223,4.93,16.5,NA,47,7.26,4.39,239,27.1414473684211
"OT",77,308,5.11,15.5,30,41,7.68,4.68,231,36.5194805194805
"DE",77,285,4.92,NA,23,NA,NA,NA,72,33.7923764547141
"CB",71,204,4.42,NA,NA,NA,NA,NA,145,28.4491172386431
"FS",75,231,4.62,14,27,31,7.36,4.41,133,28.8698666666667
"ILB",73,242,4.54,7,23,23,6.9,4.29,220,31.9245637080128
"QB",75,222,4.76,NA,NA,NA,NA,NA,48,27.7450666666667
"OLB",73,229,4.59,4.5,22,23,NA,NA,121,30.2096078063427
"DT",76,354,5.71,25.5,NA,57,8.19,5.03,57,43.0855263157895
"SS",70,192,4.55,NA,30,NA,NA,NA,244,27.5461224489796
"OLB",72,242,4.59,12.5,25,37,7.36,4.6,240,32.8175154320988
"FB",71,246,4.64,11,25,36,7.15,4.32,139,34.3062884348344
"C",78,318,5.55,21,30,53,8.24,4.99,229,36.7445759368836
"CB",74,212,4.45,8,42,15,6.88,4.23,34,27.2162162162162
"WR",75,222,4.53,13,NA,33,NA,NA,159,27.7450666666667
"CB",71,195,4.58,13.5,37,34,NA,NA,137,27.1940091251736
"DE",75,266,4.89,NA,NA,NA,NA,NA,53,33.2440888888889
"OLB",71,235,4.75,11.5,24,NA,NA,NA,97,32.7722674072605
"DE",76,271,4.84,NA,21,NA,NA,NA,149,32.983552631579
"OLB",73,244,4.62,11,24,38,7.08,4.3,236,32.1884030775005
"OT",77,323,5.36,13,28,48,8.17,4.97,11,38.298026648676
"DT",76,314,5.08,NA,NA,NA,NA,NA,247,38.2171052631579
"WR",75,217,4.54,NA,34,NA,NA,NA,87,27.1201777777778
"OG",76,325,5.12,13.5,22,44,7.84,4.9,161,39.5559210526316
"TE",73,226,4.4,2.5,25,22,6.96,4.3,227,29.8138487521111
"TE",76,249,4.59,12,26,32,7.32,4.59,70,30.3059210526316
"ILB",72,245,4.65,14.5,NA,41,7.16,4.43,115,33.2243441358025
"RB",73,233,4.67,13,34,26,7.09,4.49,173,30.7372865453181
"TE",77,246,4.82,NA,32,NA,NA,NA,233,29.1681565188059
"OT",76,332,5.21,20,20,56,8.25,4.97,61,40.4078947368421
"DE",78,277,4.68,14.5,28,36,7.21,4.61,54,32.0070677186062
"RB",71,229,4.64,13,34,40,7.56,4.67,188,31.9355286649474
"WR",75,210,4.39,12,33,24,6.94,4.6,107,26.2453333333333
"OLB",76,246,4.62,13,33,30,7.19,4.28,119,29.9407894736842
"WR",71,187,4.41,NA,NA,NA,NA,NA,89,26.0783574687562
"TE",77,261,4.72,14.5,NA,NA,NA,NA,162,30.9467026480013
"TE",75,250,4.7,NA,30,NA,NA,NA,235,31.2444444444444
"WR",69,186,4.28,12.5,34,32,7,4.44,108,27.4643982356648
"OT",79,303,5.45,NA,26,NA,NA,NA,128,34.1305880467874
"CB",71,194,4.46,12.5,39,30,7.32,4.33,135,27.0545526681214
"DE",79,299,4.98,10,23,35,7.69,NA,186,33.6800192276879
"RB",72,231,4.5,8,27,29,6.94,4.25,51,31.3258101851852
"WR",75,217,4.43,11.5,34,23,6.94,4.41,198,27.1201777777778
"CB",72,192,4.37,9,34,20,6.75,4.07,96,26.037037037037
"OLB",74,243,4.78,14,17,32,6.84,4.27,116,31.1959459459459
"WR",72,187,4.61,7,NA,31,6.92,4.4,99,25.3589891975309
"ILB",74,240,4.81,11,28,36,6.93,4.54,190,30.8108108108108
"TE",78,260,4.53,7.5,NA,27,6.9,4.45,95,30.042735042735
"TE",75,243,4.71,11.5,29,35,7.09,4.35,118,30.3696
"OLB",73,268,4.71,NA,18,NA,NA,NA,13,35.354475511353
"TE",77,261,4.66,11,29,34,7.07,4.53,21,30.9467026480013
"DE",75,273,4.65,NA,17,NA,NA,NA,100,34.1189333333333
"SS",71,203,4.55,10.5,38,30,6.58,NA,210,28.309660781591
"TE",78,264,4.68,NA,26,NA,NA,NA,42,30.5049309664694
"CB",71,193,4.52,11,31,22,6.94,4.34,7,26.9150962110692
"FB",75,252,4.62,6,19,27,NA,4.37,125,31.4944
"RB",72,225,4.49,5,28,23,6.87,4.14,59,30.5121527777778
"DE",76,281,4.82,11,28,30,7.25,4.65,175,34.2006578947368
"C",75,297,5.21,20,14,42,7.5,4.73,117,37.1184
"TE",74,245,4.64,NA,NA,NA,NA,NA,113,31.4527027027027
"WR",65,166,4.34,4,39,31,6.54,4.48,197,27.6208284023669
"TE",76,264,4.77,NA,24,NA,NA,NA,132,32.1315789473684
"DT",75,305,4.84,12.5,19,33,7.61,4.71,44,38.1182222222222
"OLB",74,255,4.65,11.5,23,29,6.99,4.15,31,32.7364864864865
"ILB",75,237,4.93,13.5,24,32,6.86,4.07,254,29.6197333333333
"OG",77,331,5.24,18.5,22,55,7.85,4.93,17,39.2465845842469
"CB",70,196,4.4,8.5,36,29,6.92,4.14,20,28.12
"OT",77,328,5.15,18.5,NA,46,7.93,4.69,73,38.8908753584078
"OG",77,312,5.37,21,NA,56,8.15,5.01,98,36.993759487266
"SS",73,214,4.51,6.5,25,29,7.43,4.54,163,28.2308125351848
"SS",74,221,4.59,10,40,32,6.83,4.14,76,28.3716216216216
"DT",75,301,5.04,NA,NA,NA,NA,NA,157,37.6183111111111
"DT",76,328,5.09,16,10,47,8.12,4.71,46,39.9210526315789
"QB",75,225,4.93,14,NA,37,6.96,4.37,122,28.12
"OLB",75,250,4.65,9.5,24,29,7.26,4.53,43,31.2444444444444
"DE",73,260,5.05,13,23,36,7.5,4.74,232,34.2991180334021
"WR",74,211,4.58,10,NA,32,6.81,4.23,78,27.0878378378378
"C",75,304,5.19,22,23,51,7.81,4.66,205,37.9932444444444
"OG",75,315,5.22,19.5,16,46,7.56,4.51,92,39.368
"ILB",74,236,4.71,8.5,25,27,NA,NA,55,30.2972972972973
"QB",75,230,4.6,16.5,NA,37,6.93,4.22,181,28.7448888888889
"FS",74,203,4.42,9,39,21,NA,NA,67,26.0608108108108
"FS",72,198,4.73,14.5,33,31,6.88,4.33,136,26.8506944444444
"CB",71,183,4.51,7.5,40,31,6.81,4.27,105,25.5205316405475
"DE",75,281,4.86,NA,NA,NA,NA,NA,253,35.1187555555556
"RB",72,218,4.37,10,30,26,7,4.33,12,29.5628858024691
"FS",75,230,4.31,5,25,22,NA,NA,49,28.7448888888889
"ILB",75,254,4.68,NA,25,NA,NA,NA,8,31.7443555555556
"WR",69,172,4.53,8.5,29,29,NA,4.06,36,25.3971854652384
"CB",71,193,4.38,10,33,21,6.7,4.07,27,26.9150962110692
"DT",76,295,5.04,15.5,26,33,7.32,4.48,3,35.9046052631579
"QB",73,216,4.79,NA,NA,33,NA,NA,85,28.4946519046725
"TE",76,259,4.71,10.5,30,34,6.99,4.57,185,31.5230263157895
"RB",71,198,4.4,9.5,31,27,NA,NA,112,27.6123784963301
"CB",71,195,4.48,NA,NA,NA,NA,NA,144,27.1940091251736
"WR",74,224,4.62,11,36,32,NA,4.23,165,28.7567567567568
"OLB",75,251,4.75,8,NA,20,7.07,4.27,40,31.3694222222222
"DT",74,296,4.75,17.5,24,40,7.68,4.55,81,38
"WR",75,215,4.46,10,33,25,6.96,4.55,177,26.8702222222222
"OLB",72,246,4.64,9.5,25,25,7.22,4.37,178,33.3599537037037
"TE",75,245,4.69,12,31,34,7.1,4.42,93,30.6195555555556
"CB",71,188,4.5,9.5,47,25,6.74,4.07,141,26.2178139258084
"DE",75,266,4.77,12,NA,35,7.12,4.43,16,33.2440888888889
"OLB",74,246,4.68,15,30,37,7.25,4.39,131,31.5810810810811
"CB",72,196,4.5,8,33,20,6.87,4.05,65,26.579475308642
"DT",75,294,4.87,13,18,34,7.53,4.53,56,36.7434666666667
"OG",76,319,4.99,21,24,50,7.4,4.6,169,38.8256578947368
"OLB",73,245,4.71,9.5,NA,32,7.08,4.23,124,32.3203227622443
"DT",77,304,5.03,17,23,41,7.22,4.59,28,36.0452015516951
"OT",77,307,5.18,NA,11,NA,NA,NA,6,36.4009107775342
"C",76,306,5.25,16.5,14,54,7.5,4.82,183,37.2434210526316
"DT",73,304,4.97,16,5,46,NA,4.68,243,40.1035841621317
"CB",72,207,4.32,10.5,NA,27,6.84,4.32,126,28.0711805555556
"DT",75,300,4.98,13,NA,49,7.56,4.76,83,37.4933333333333
"OG",75,310,5.34,NA,4,NA,NA,NA,147,38.7431111111111
"DE",77,270,4.71,15.5,30,32,7.18,4.67,15,32.0138303255186
"QB",78,223,4.9,17.5,NA,39,7.06,4.53,204,25.767422748192
"TE",76,245,4.68,12,22,34,6.72,4.17,114,29.8190789473684
"C",76,304,5.25,NA,NA,52,7.74,4.92,18,37
"WR",72,204,4.4,9,33,33,6.82,4.34,90,27.6643518518519
"DT",73,303,5.12,17.5,15,51,NA,NA,35,39.9716644773879
"TE",76,254,4.68,14,26,35,NA,NA,154,30.9144736842105
"WR",72,191,4.56,9,34,33,6.95,4.38,156,25.9014274691358
"OLB",73,239,4.69,10.5,NA,28,6.97,4.25,103,31.5288046537812
"WR",71,195,4.4,10,34,27,6.77,4.15,88,27.1940091251736
"QB",74,214,4.68,11,NA,37,7.24,4.4,250,27.472972972973
"CB",71,190,4.46,7,34,25,6.78,NA,32,26.4967268399127
"OT",77,316,5.21,16.5,22,34,7.42,4.67,33,37.4680384550514
"WR",71,186,4.4,6.5,37,21,6.64,4.1,82,25.938901011704
"OLB",76,252,4.65,12,26,33,7.29,4.41,134,30.6710526315789
"OLB",74,221,4.63,NA,NA,NA,NA,NA,130,28.3716216216216
"RB",71,238,4.68,15.5,NA,36,6.98,4.47,200,33.190636778417
"OG",77,319,5.52,23.5,30,57,8.24,5.03,151,37.8237476808905
"DE",76,252,4.93,15.5,25,38,7.48,4.63,226,30.6710526315789
"ILB",71,236,4.81,NA,25,NA,7.19,4.42,102,32.9117238643126
"OLB",74,257,4.92,13,NA,32,7.23,4.53,142,32.9932432432432
"WR",71,193,4.6,9.5,33,31,NA,NA,84,26.9150962110692
"QB",77,243,4.85,12.5,NA,39,7.17,4.33,155,28.8124472929668
"DT",74,304,5.01,NA,NA,NA,NA,NA,74,39.027027027027
"OG",75,300,5.03,12,23,35,7.67,4.71,187,37.4933333333333
"CB",71,195,4.52,11,NA,31,NA,NA,66,27.1940091251736
"ILB",75,249,5.05,17,NA,36,6.97,NA,62,31.1194666666667
"RB",71,196,4.37,NA,31,NA,NA,NA,9,27.3334655822257
"RB",74,218,4.5,10,34,28,6.89,4.23,193,27.9864864864865
"SS",71,205,4.46,6.5,32,27,NA,NA,110,28.5885736956953
"DT",76,307,5.03,10.5,17,42,7.21,4.44,2,37.3651315789474
"OLB",74,231,4.71,NA,26,NA,NA,NA,166,29.6554054054054
"RB",71,220,4.34,5.5,23,23,6.91,4.12,58,30.6804205514779
"WR",70,199,4.42,11,32,27,7.12,4.34,60,28.5504081632653
"DE",75,263,4.73,9,20,26,6.91,4.18,86,32.8691555555556
"QB",75,236,4.71,7.5,NA,32,6.66,4.17,25,29.4947555555556
"C",77,300,5.15,21,22,49,7.6,4.62,158,35.5709225839096
"DT",76,330,5.16,17,18,45,7.68,4.78,146,40.1644736842105
"WR",75,224,4.52,NA,NA,NA,NA,NA,22,27.9950222222222
"CB",70,208,4.43,NA,28,34,NA,NA,14,29.8416326530612
"CB",72,192,4.41,11.5,30,21,6.82,4.18,94,26.037037037037
"CB",69,186,4.75,13,NA,30,6.73,4.26,225,27.4643982356648
"CB",71,189,4.53,NA,NA,NA,NA,NA,111,26.3572703828605
"OLB",75,248,4.76,10.5,29,37,7.08,4.34,184,30.9944888888889
"OLB",75,250,4.7,13,29,32,7.02,4.37,167,31.2444444444444
"DT",75,314,5.12,17,15,49,7.61,4.73,41,39.2430222222222
"OT",80,312,5.06,12.5,17,38,7.4,4.51,69,34.27125
"CB",70,189,4.52,14,38,31,6.7,4.12,104,27.1157142857143
"CB",70,204,4.52,NA,34,NA,NA,NA,196,29.2677551020408
"C",75,300,5.19,19,25,46,7.6,4.69,80,37.4933333333333
"OT",77,314,5.18,19,20,51,NA,4.7,140,37.2308989711587
"SS",70,211,4.56,12,30,26,NA,NA,38,30.2720408163265
"OLB",74,230,4.58,15,32,33,NA,NA,47,29.527027027027
"OLB",73,240,4.55,6,25,13,7.06,4.11,217,31.660724338525
"OLB",73,239,4.62,6,15,24,6.99,4.38,19,31.5288046537812
"OT",78,307,5.42,17,20,42,7.67,4.8,208,35.4735371466141
"WR",73,197,4.52,8,30,29,6.79,4.24,77,25.9881778945393
"DT",74,327,5.19,14,22,51,7.88,4.87,26,41.9797297297297
"WR",70,188,4.4,13,38,29,7,4.19,206,26.9722448979592
"WR",73,221,4.53,12.5,41,31,6.9,4.31,101,29.1542503283918
"OT",77,315,4.81,11.5,26,34,7.64,4.63,4,37.3494687131051
"DE",75,290,4.83,13,17,31,NA,4.77,230,36.2435555555556
"DE",74,286,4.97,16.5,26,NA,NA,NA,127,36.7162162162162
"CB",70,194,4.43,NA,24,NA,NA,NA,29,27.8330612244898
"DT",76,309,5.15,9,NA,38,7.45,4.67,123,37.608552631579
"DE",78,270,4.92,NA,29,NA,NA,NA,109,31.198224852071
"OLB",73,254,4.65,8,25,33,6.95,4.29,52,33.507599924939
"DT",77,292,5.02,NA,30,NA,NA,NA,242,34.6223646483387
"FS",71,206,4.44,8.5,35,28,6.95,4.36,75,28.7280301527475
"OT",80,316,5.2,16.5,20,43,7.73,4.87,179,34.710625
"DE",77,251,4.88,8,24,29,7.24,4.56,213,29.7610052285377
"OLB",74,262,4.67,12.5,26,35,6.69,4.32,103,33.6351351351351
"CB",73,197,4.5,10.5,31,18,6.76,4.01,128,25.9881778945393
"RB",73,228,4.56,4.5,25,27,6.79,4.06,225,30.0776881215988
"CB",72,206,4.38,8,34,19,6.97,4.08,19,27.9355709876543
"OG",77,300,5.31,17,24,44,7.6,4.63,110,35.5709225839096
"DT",74,309,4.84,15.5,11,35,7.33,4.4,52,39.6689189189189
"OLB",74,254,4.81,15,31,31,7.49,4.28,39,32.6081081081081
"DE",75,285,4.71,9.5,22,30,7.43,4.56,86,35.6186666666667
"WR",76,228,4.49,4,29,18,7.07,4.34,26,27.75
"DE",76,283,4.75,14.5,NA,36,7.54,4.51,106,34.4440789473684
"OT",77,325,5.31,17,20,44,8.27,4.75,92,38.5351661325687
"DE",74,262,5.14,17.5,27,41,7.19,4.46,247,33.6351351351351
"SS",69,184,4.7,10.5,31,28,6.85,4.2,151,27.1690821256039
"OG",77,308,5.28,15,21,45,7.66,4.64,101,36.5194805194805
"DE",75,280,4.92,NA,27,NA,NA,NA,51,34.9937777777778
"RB",71,242,4.53,17,21,34,6.97,4.39,187,33.7484626066257
"OT",78,323,5.21,20,24,47,7.84,4.81,117,37.3223208415516
"WR",71,187,4.68,12.5,37,26,6.64,4.25,82,26.0783574687562
"CB",73,204,4.52,10.5,25,31,6.85,4.25,118,26.9116156877463
"CB",72,185,4.51,6.5,39,19,6.59,4,95,25.0877700617284
"CB",71,190,4.49,9.5,NA,27,6.5,4,164,26.4967268399127
"WR",73,221,4.5,11.5,30,30,7.04,4.31,236,29.1542503283918
"CB",72,190,4.5,14,31,29,6.93,4.07,139,25.7658179012346
"TE",77,254,4.53,8.5,26,28,6.82,4.03,102,30.1167144543768
"OT",77,358,5.26,15.5,16,42,8.07,4.97,138,42.4479676167988
"OT",79,314,5.18,14.5,20,38,NA,NA,29,35.369652299311
"OT",76,321,5.22,NA,26,NA,NA,NA,25,39.0690789473684
"FS",73,208,4.57,11.5,26,26,7.05,4.06,108,27.4392944267217
"RB",69,222,4.54,9,22,27,6.92,4.07,119,32.7800882167612
"OLB",73,248,4.58,10,22,33,6.88,4.34,162,32.7160818164759
"OLB",73,241,4.57,NA,24,NA,NA,NA,40,31.7926440232689
"DT",73,300,5.04,18.5,23,46,7.51,4.78,77,39.5759054231563
"OT",79,311,5.21,16.5,21,42,7.25,4.4,22,35.0317256849864
"FB",74,247,4.87,10.5,26,31,7.13,4.4,220,31.7094594594595
"CB",72,191,4.38,11.5,NA,21,NA,NA,113,25.9014274691358
"FB",75,245,4.69,12.5,31,29,7.07,4.15,174,30.6195555555556
"DE",75,281,4.78,13,NA,34,7.3,4.13,20,35.1187555555556
"WR",70,191,4.46,12.5,33,32,7.08,4.34,64,27.4026530612245
"FS",74,197,4.52,10.5,31,20,7.01,4.19,93,25.2905405405405
"CB",72,199,4.36,7.5,NA,24,6.88,4.08,80,26.9863040123457
"QB",74,215,4.83,16.5,NA,41,6.93,4.27,35,27.6013513513514
"DT",75,319,4.93,19,25,NA,7.83,4.62,3,39.8679111111111
"ILB",73,242,4.73,8.5,25,24,NA,NA,91,31.9245637080128
"WR",74,201,4.62,NA,35,NA,NA,NA,123,25.8040540540541
"CB",73,198,4.4,NA,30,NA,NA,NA,33,26.1200975792832
"CB",73,176,4.28,12.5,44,26,6.97,4.09,81,23.2178645149184
"DT",77,346,5.19,NA,23,NA,NA,NA,94,41.0251307134424
"DE",76,255,4.88,14.5,23,41,7.25,4.32,197,31.0361842105263
"QB",76,240,5.12,20.5,NA,45,7.13,4.46,160,29.2105263157895
"DT",76,291,4.84,15,NA,34,7.14,4.56,13,35.4177631578947
"OLB",73,245,4.75,15,27,37,7.14,4.45,84,32.3203227622443
"OT",77,316,5.11,17.5,23,NA,NA,NA,46,37.4680384550514
"DT",73,308,5.28,22,19,46,7.54,4.54,97,40.6312629011071
"C",76,306,5.18,17.5,23,39,7.29,4.43,172,37.2434210526316
"QB",76,234,4.61,12.5,NA,27,6.84,4.26,10,28.4802631578947
"WR",72,192,4.31,6,33,16,NA,NA,111,26.037037037037
"OT",78,330,5.41,NA,19,NA,NA,NA,63,38.1311637080868
