"Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Pick","BMI"
"OLB",75,242,5.03,14.5,30,38,7.54,4.35,188,30.2446222222222
"TE",74,266,4.76,12,27,35,7.38,4.43,35,34.1486486486486
"OT",78,370,5.32,18,16,50,8.72,5.18,2,42.7531229454306
"OG",76,307,5.24,14.5,17,39,7.62,4.6,220,37.3651315789474
"ILB",73,239,4.76,NA,NA,NA,NA,NA,213,31.5288046537812
"OT",79,338,5.13,12,NA,45,7.5,4.46,118,38.073065213908
"SS",73,213,4.63,9,32,30,7.38,NA,56,28.098892850441
"FS",71,202,4.73,NA,NA,NA,7.07,4.12,193,28.1702043245388
"OT",78,348,5.99,NA,33,NA,NA,NA,242,40.2110453648915
"DT",75,302,5.23,NA,22,NA,NA,NA,75,37.7432888888889
"OG",75,303,5.3,14,32,41,8.1,4.77,156,37.8682666666667
"CB",70,179,4.4,NA,NA,28,NA,NA,60,25.6810204081633
"DT",75,293,4.86,NA,NA,NA,NA,NA,76,36.6184888888889
"FB",72,246,4.56,11.5,19,36,7.3,4.24,82,33.3599537037037
"DT",74,295,5.29,NA,NA,NA,NA,NA,133,37.8716216216216
"WR",73,205,4.48,9.5,NA,27,7.24,4.07,41,27.0435353724901
"OG",74,314,5.3,NA,32,NA,NA,NA,105,40.3108108108108
"TE",76,262,5.09,12.5,34,44,7.95,4.59,205,31.8881578947368
"CB",69,180,4.48,NA,NA,NA,NA,NA,26,26.578449905482
"OG",74,312,5.28,19,26,50,8.56,4.7,219,40.0540540540541
"FS",70,186,4.45,10,31,33,7.2,4.21,127,26.685306122449
"OG",76,305,5.2,15.5,NA,44,8.03,4.71,68,37.1217105263158
"WR",74,219,4.48,NA,NA,NA,NA,NA,15,28.1148648648649
"C",74,303,5,13.5,12,33,7.71,4.53,99,38.8986486486486
"WR",73,183,4.39,NA,NA,NA,NA,NA,214,24.1413023081254
"SS",74,218,4.45,NA,32,NA,NA,NA,28,27.9864864864865
"OLB",73,236,4.94,10,35,32,7.16,4.31,173,31.1330455995496
"DE",75,280,4.77,NA,NA,NA,NA,NA,89,34.9937777777778
"OLB",72,237,4.69,12.5,28,35,7.62,4.08,88,32.1394675925926
"OG",78,298,5.3,NA,26,NA,NA,NA,199,34.4335963182117
"FS",75,198,4.5,9.5,35,20,NA,NA,215,24.7456
"C",77,303,5.26,12.5,32,41,7.62,4.62,113,35.9266318097487
"DT",73,314,5.25,NA,15,NA,NA,NA,19,41.4227810095703
"SS",72,200,4.56,11.5,37,28,7.14,NA,212,27.1219135802469
"DE",77,255,4.91,5,28,20,7.43,4.43,87,30.2352841963232
"TE",77,252,4.68,NA,NA,NA,NA,NA,31,29.8795749704841
"CB",73,202,4.48,5.5,39,22,6.9,4.12,101,26.6477763182586
"RB",69,223,4.61,NA,26,NA,NA,NA,58,32.9277462717916
"CB",73,198,4.6,5,34,21,6.9,4.2,97,26.1200975792832
"QB",74,215,4.85,8.5,NA,33,7.18,4.15,177,27.6013513513514
"CB",71,178,4.68,10.5,39,31,7.07,4.18,202,24.8232493552866
"OG",75,300,5.4,19.5,33,52,7.85,4.69,151,37.4933333333333
"OLB",76,244,4.49,14,28,27,NA,4.09,70,29.6973684210526
"TE",74,253,4.91,7.5,29,34,7.14,4.4,119,32.4797297297297
"CB",71,186,4.58,4,43,18,7.09,3.85,179,25.938901011704
"DT",75,295,4.94,NA,26,NA,NA,NA,57,36.8684444444444
"FS",72,204,4.64,9,35,26,6.87,4.12,117,27.6643518518519
"OLB",74,245,4.7,NA,33,NA,NA,NA,104,31.4527027027027
"OG",77,315,5.15,12.5,18,41,NA,4.74,17,37.3494687131051
"RB",70,210,4.55,NA,NA,NA,NA,NA,65,30.1285714285714
"WR",74,204,4.49,3,NA,13,NA,NA,131,26.1891891891892
"FS",71,186,4.5,11.5,40,29,7.13,4.2,165,25.938901011704
"DT",77,318,5.19,15,16,39,7.85,4.4,44,37.7051779389442
"OT",76,334,5.31,16.5,18,45,8.08,4.93,95,40.6513157894737
"RB",70,227,4.57,8.5,25,28,7.32,4.22,100,32.5675510204082
"WR",73,192,4.57,13,NA,39,7.51,4.14,36,25.32857947082
"OT",75,308,5.01,NA,18,NA,NA,NA,96,38.4931555555556
"RB",70,234,4.57,NA,25,NA,NA,NA,49,33.5718367346939
"CB",72,199,4.54,11.5,NA,34,7.21,4.27,71,26.9863040123457
"WR",72,199,4.42,2.5,NA,21,6.56,3.73,190,26.9863040123457
"CB",70,199,4.46,10,34,27,7.24,4.18,69,28.5504081632653
"WR",72,199,4.61,NA,NA,NA,NA,NA,245,26.9863040123457
"DE",75,290,4.87,11.5,24,36,7.37,4.36,230,36.2435555555556
"FB",71,242,4.59,14,NA,32,7.08,4.19,108,33.7484626066257
"OG",74,290,5.28,14.5,21,36,7.59,4.44,137,37.2297297297297
"DT",75,293,4.9,NA,27,NA,NA,NA,12,36.6184888888889
"OG",75,313,5.33,16,12,42,8,4.73,135,39.1180444444444
"OT",77,311,5.29,NA,23,NA,7.84,4.49,48,36.8751897453196
"ILB",72,251,4.77,11,27,36,NA,NA,209,34.0380015432099
"CB",72,200,4.45,NA,NA,NA,NA,NA,40,27.1219135802469
"TE",74,275,4.99,16,NA,41,7.49,4.26,129,35.304054054054
"ILB",74,249,4.7,NA,NA,NA,NA,NA,72,31.9662162162162
"WR",76,242,4.76,NA,NA,NA,NA,NA,198,29.4539473684211
"RB",73,222,4.41,NA,NA,NA,NA,NA,23,29.2861700131357
"WR",74,209,4.51,5,NA,18,7.06,3.99,124,26.8310810810811
"WR",70,191,4.48,9.5,NA,35,7.17,4.18,236,27.4026530612245
"SS",71,197,4.62,8,39,30,7.36,4.1,233,27.4729220392779
"OT",78,328,5.33,13,29,43,7.87,4.8,79,37.9000657462196
"QB",74,207,4.57,8.5,NA,23,7.12,4.12,149,26.5743243243243
"TE",77,256,4.85,12,29,34,7.14,4.15,90,30.3538539382695
"CB",74,200,4.5,NA,32,NA,NA,NA,24,25.6756756756757
"WR",73,171,4.57,8.5,NA,32,7.06,4.07,77,22.5582660911991
"RB",70,197,4.44,14,40,32,NA,NA,85,28.2634693877551
"DE",77,258,5.03,8,28,31,7.5,4.4,231,30.5909934221623
"WR",71,185,4.46,6.5,NA,27,6.95,4.06,25,25.7994445546519
"DT",75,342,5.04,17.5,NA,48,8.06,4.73,186,42.7424
"ILB",74,248,4.76,NA,25,NA,7.1,4.31,139,31.8378378378378
"WR",73,211,4.48,NA,NA,NA,NA,NA,33,27.8350534809533
"ILB",74,240,4.54,NA,NA,NA,NA,NA,11,30.8108108108108
"WR",70,184,4.31,NA,NA,NA,NA,NA,16,26.3983673469388
"CB",70,190,4.65,9,36,27,7.21,4.16,200,27.2591836734694
"WR",70,195,4.53,9,NA,30,6.86,3.98,166,27.9765306122449
"OG",75,293,5.57,10.5,20,34,7.66,4.18,111,36.6184888888889
"OG",76,305,5.16,11,24,40,8.08,4.72,222,37.1217105263158
"FB",73,250,4.63,15,12,33,7.56,4.5,115,32.9799211859636
"TE",76,252,5.02,14,33,34,7.4,4.31,195,30.6710526315789
"C",73,316,5.27,13.5,25,44,7.87,4.61,146,41.686620379058
"QB",74,231,4.78,10.5,NA,35,7.13,4.29,125,29.6554054054054
"C",76,300,5.36,18,NA,55,8.1,4.56,217,36.5131578947368
"OLB",72,257,4.91,13.5,NA,41,7.37,4.53,134,34.8516589506173
"DT",74,309,5.1,NA,NA,NA,NA,NA,29,39.6689189189189
"ILB",74,251,4.76,NA,NA,NA,NA,NA,112,32.222972972973
"OLB",76,234,4.55,NA,NA,NA,NA,NA,42,28.4802631578947
"C",76,298,5.23,NA,30,NA,NA,NA,92,36.2697368421053
"C",74,307,5.13,13,20,39,7.55,4.35,50,39.4121621621622
"WR",73,196,4.34,NA,NA,NA,NA,NA,229,25.8562582097955
"DE",75,267,4.72,NA,NA,NA,NA,NA,10,33.3690666666667
"DE",74,264,4.75,NA,NA,NA,NA,NA,103,33.8918918918919
"TE",76,256,4.75,11.5,33,30,7.28,4.4,227,31.1578947368421
"OG",75,308,5.24,16,30,41,8.06,4.58,138,38.4931555555556
"WR",73,211,4.61,NA,NA,NA,NA,NA,9,27.8350534809533
"DT",76,320,5.28,NA,NA,NA,NA,NA,61,38.9473684210526
"QB",76,228,4.74,12,NA,40,7.07,4.29,109,27.75
"DE",76,263,4.75,8,NA,28,7.16,4.03,46,32.0098684210526
"CB",71,208,4.65,16,NA,34,7.52,4.18,189,29.0069430668518
"DE",78,281,4.86,10.5,26,40,7.67,4.37,114,32.4692636423406
"DT",78,299,4.95,NA,NA,NA,NA,NA,6,34.5491452991453
"CB",70,212,4.51,12.5,34,33,NA,NA,84,30.4155102040816
"DE",76,267,4.64,12,23,30,NA,NA,4,32.4967105263158
"DT",75,299,5.24,16,NA,47,8,4.8,81,37.3683555555556
"WR",69,184,4.41,7.5,NA,26,7.44,4.25,74,27.1690821256039
"CB",71,172,4.48,NA,NA,NA,NA,NA,45,23.9865106129736
"ILB",74,245,4.75,10.5,16,37,7.3,4.15,110,31.4527027027027
"OLB",75,232,4.62,13,NA,28,7.15,4.5,122,28.9948444444444
"DT",75,309,4.9,13,NA,37,7.75,4.72,171,38.6181333333333
"TE",77,256,4.96,10.5,NA,38,7.3,4.4,147,30.3538539382695
"CB",71,191,4.51,5,32,20,NA,NA,54,26.6361832969649
"DT",78,321,5.13,16,28,37,8.07,4.72,13,37.0912228796844
"OG",76,312,5.3,15.5,NA,51,NA,NA,176,37.9736842105263
"OT",77,338,5.32,15.5,21,49,8.36,4.8,144,40.0765727778715
"WR",69,192,4.48,NA,NA,NA,NA,NA,136,28.3503465658475
"DE",76,269,4.91,13,21,36,7.65,4.4,234,32.7401315789474
"WR",71,183,4.4,10.5,NA,32,6.81,3.93,218,25.5205316405475
"WR",75,213,4.43,NA,NA,NA,NA,NA,8,26.6202666666667
"RB",74,229,4.58,13.5,29,32,7.48,4.44,38,29.3986486486486
"RB",70,221,4.46,5.5,31,23,6.84,4.21,5,31.7067346938776
"DE",78,260,4.78,12.5,NA,27,7.06,4.32,51,30.042735042735
"QB",73,223,4.71,10.5,NA,32,7.36,4.35,59,29.4180896978795
"ILB",75,273,4.8,NA,NA,NA,NA,NA,239,34.1189333333333
"QB",72,210,4.33,NA,NA,NA,NA,NA,1,28.4780092592593
"OT",77,311,5.17,14.5,25,38,7.7,4.6,14,36.8751897453196
"CB",71,176,4.51,7,NA,23,NA,4.18,152,24.5443364411823
"DT",76,325,5,NA,NA,NA,NA,NA,3,39.5559210526316
"WR",72,198,4.45,NA,NA,NA,NA,NA,30,26.8506944444444
"QB",76,226,5.2,NA,NA,NA,NA,NA,106,27.5065789473684
"OLB",72,236,4.63,9.5,28,32,7.47,4.21,73,32.0038580246914
"CB",70,183,4.46,3.5,38,17,6.7,4.21,86,26.2548979591837
"CB",70,188,4.58,10,NA,27,7.12,NA,196,26.9722448979592
"OG",76,299,5.48,17.5,24,44,7.86,4.67,211,36.3914473684211
"OT",77,304,5.2,NA,25,NA,NA,NA,43,36.0452015516951
"WR",70,179,4.48,8,NA,24,NA,NA,169,25.6810204081633
"ILB",71,229,4.63,10.5,NA,36,NA,NA,47,31.9355286649474
"OT",78,301,5.3,NA,NA,NA,NA,NA,164,34.7802432610125
"DT",73,310,5.18,16,26,44,7.5,4.61,130,40.8951022705949
"DE",75,285,4.97,18,NA,44,7.71,4.47,183,35.6186666666667
